Region, County Name, District Name, District Number, Charter Status, Eligible For Free Meals Count, Eligible For Free Meals Percent, Eligible For Reduced-Price Meals Count, Eligible For Reduced-Price Meals Percent, Other Economically Disadvantaged Count, Other Economically Disadvantaged Percent, Not Economically Disadvantaged Count, Not Economically Disadvantaged Percent, Total Count
04, WALLER COUNTY, HEMPSTEAD ISD,237902, TRADITIONAL ISD/CSD,939,59.36,91,5.75,278,17.57,274,17.32,1582
04, HARRIS COUNTY, SOUTHWEST PUBLIC SCHOOLS,101838, OPEN ENROLLMENT CHARTER,965,59.38,45,2.77,505,31.08,110,6.77,1625
17, HALE COUNTY, HALE CENTER ISD, 095903, TRADITIONAL ISD/CSD,348,59.39,-999,-999,-999,-999,188,32.08,586
15, BROWN COUNTY, BROWNWOOD ISD, 025902, TRADITIONAL ISD/CSD,2044,59.4,-999,-999,-999,-999,1171,34.03,3441
06, TRINITY COUNTY, TRINITY ISD,228903, TRADITIONAL ISD/CSD,725,59.43,23,1.89,337,27.62,135,11.07,1220
19, EL PASO COUNTY, TORNILLO ISD, 071908, TRADITIONAL ISD/CSD,453,59.45,-999,-999,-999,-999,-999,-999,762
15, MENARD COUNTY, MENARD ISD,164901, TRADITIONAL ISD/CSD,171,59.58,-999,-999,-999,-999,85,29.62,287
20, DIMMIT COUNTY, CARRIZO SPRINGS CISD, 064903, TRADITIONAL ISD/CSD,1141,59.58,131,6.84,312,16.29,331,17.28,1915
12, MCLENNAN COUNTY, RAPOPORT ACADEMY PUBLIC SCHOOL,161802, OPEN ENROLLMENT CHARTER,527,59.62,40,4.52,95,10.75,222,25.11,884
16, LIPSCOMB COUNTY, BOOKER ISD,148901, TRADITIONAL ISD/CSD,198,59.64,30,9.04,0,0,104,31.33,332
14, NOLAN COUNTY, SWEETWATER ISD,177902, TRADITIONAL ISD/CSD,1104,59.68,58,3.14,225,12.16,463,25.03,1850
20, BEXAR COUNTY, SOMERSET ISD, 015909, TRADITIONAL ISD/CSD,2538,59.69,154,3.62,788,18.53,772,18.16,4252
04, GALVESTON COUNTY, DICKINSON ISD, 084901, TRADITIONAL ISD/CSD,7523,59.74,-999,-999,-999,-999,4219,33.51,12592
